DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2019-12-28,1 AVE,40.730901,-73.981719,10904,12838,L
2019-12-28,103 ST,40.790582,-73.947473,5549,5681,6
2019-12-28,103 ST,40.796105,-73.961399,2415,1451,BC
2019-12-28,103 ST,40.799354,-73.968329,6515,3300,1
2019-12-28,103 ST-CORONA,40.749858,-73.862672,14003,9855,7
2019-12-28,104 ST,40.695184,-73.844326,1310,641,JZ
2019-12-28,110 ST,40.795066,-73.944297,12002,11726,6
2019-12-28,110 ST-CATHEDRL,40.804032,-73.966742,12382,6234,1
2019-12-28,110 ST-CPN,40.799110,-73.951807,0,281,23
2019-12-28,111 ST,40.697405,-73.836354,1157,604,J
2019-12-28,111 ST,40.751760,-73.855183,8274,4944,7
2019-12-28,116 ST,40.798574,-73.941593,16130,10224,6
2019-12-28,116 ST,40.802098,-73.949625,8,62,23
2019-12-28,116 ST,40.805072,-73.954833,9140,5296,BC
2019-12-28,116 ST-COLUMBIA,40.808190,-73.964124,3643,1933,1
2019-12-28,121 ST,40.700536,-73.828382,1172,749,JZ
2019-12-28,125 ST,40.804406,-73.937452,14239,16242,456
2019-12-28,125 ST,40.808076,-73.945906,120,148,23
2019-12-28,125 ST,40.811056,-73.952386,38714,36002,ACBD
2019-12-28,125 ST,40.815596,-73.958395,4336,4856,1
2019-12-28,135 ST,40.814459,-73.940992,82,82,23
2019-12-28,135 ST,40.817902,-73.947644,11106,5691,BC
2019-12-28,137 ST-CITY COL,40.821994,-73.953674,12584,9870,1
2019-12-28,138 ST-3 AVE,40.810512,-73.926165,4106,2735,6
2019-12-28,138 ST-GR CONC,40.813208,-73.929877,1191,1275,45
2019-12-28,14 ST,40.738007,-73.998381,22902,15202,123FLM
2019-12-28,14 ST,40.740388,-74.002104,24973,26061,ACEL
2019-12-28,14 ST-6 AVE,40.737348,-73.996900,44508,57636,FLM123
2019-12-28,14 ST-UNION SQ,40.734836,-73.990688,270408,313380,LNQR456
2019-12-28,145 ST,40.820402,-73.936315,0,2,3
2019-12-28,145 ST,40.824787,-73.944232,28538,26140,ABCD
2019-12-28,145 ST,40.826426,-73.950412,12486,9648,1
2019-12-28,148 ST-LENOX,40.823877,-73.936443,1,11,3
2019-12-28,149 ST-3 AVE,40.816132,-73.917754,21026,8864,25
2019-12-28,149 ST-GR CONC,40.818429,-73.926927,9330,15312,245
2019-12-28,15 ST-PROSPECT,40.660376,-73.979509,5854,4080,FG
2019-12-28,155 ST,40.829934,-73.938632,2145,1182,BD
2019-12-28,155 ST,40.830551,-73.941486,1566,1127,C
2019-12-28,157 ST,40.833879,-73.944726,12556,8082,1
2019-12-28,161 ST-YANKEE,40.827888,-73.925736,80688,50544,BD4
2019-12-28,163 ST-AMSTERDM,40.835957,-73.939898,2453,2001,C
2019-12-28,167 ST,40.833773,-73.918430,12056,4642,BD
2019-12-28,167 ST,40.835535,-73.921380,4913,5688,4
2019-12-28,168 ST-BROADWAY,40.840778,-73.940091,30843,18165,1AC
2019-12-28,169 ST,40.710459,-73.793600,8588,6488,F
2019-12-28,170 ST,40.839301,-73.913355,7848,4188,BD
2019-12-28,170 ST,40.840048,-73.917775,4535,3189,4
2019-12-28,174 ST,40.837382,-73.887659,6728,5556,25
2019-12-28,174-175 ST,40.845892,-73.910136,6208,3242,BD
2019-12-28,175 ST,40.847369,-73.939683,16346,8432,A
2019-12-28,176 ST,40.848635,-73.912497,2982,1747,4
2019-12-28,18 AVE,40.607958,-74.001782,4337,1046,D
2019-12-28,18 AVE,40.620728,-73.990388,3015,2395,N
2019-12-28,18 AVE,40.629881,-73.977149,3430,2546,F
2019-12-28,18 ST,40.741096,-73.997877,6332,4840,1
2019-12-28,181 ST,40.849495,-73.933632,7042,7268,1
2019-12-28,181 ST,40.851686,-73.937967,10628,8046,A
2019-12-28,182-183 ST,40.856085,-73.900695,3196,1452,BD
2019-12-28,183 ST,40.858389,-73.903828,2978,1082,4
2019-12-28,190 ST,40.859022,-73.934190,2679,1189,A
2019-12-28,191 ST,40.855176,-73.929384,4715,4971,1
2019-12-28,2 AVE,40.723291,-73.989873,18914,9022,F
2019-12-28,20 AVE,40.604798,-73.998456,3305,895,D
2019-12-28,20 AVE,40.617373,-73.985088,2173,1558,N
2019-12-28,207 ST,40.864653,-73.918719,3963,1975,1
2019-12-28,21 ST,40.754100,-73.942580,7434,5439,F
2019-12-28,215 ST,40.869359,-73.915329,837,405,1
2019-12-28,219 ST,40.883767,-73.862736,1596,857,25
2019-12-28,22 AVE-BAY PKY,40.620907,-73.975453,570,163,F
2019-12-28,225 ST,40.887887,-73.860505,1961,1068,25
2019-12-28,23 ST,40.740088,-73.986429,29520,29336,6
2019-12-28,23 ST,40.744071,-73.995624,13684,11162,1
2019-12-28,23 ST,40.745924,-73.998005,20001,17586,CE
2019-12-28,23 ST-5 AVE,40.741006,-73.989315,23438,15242,NR
2019-12-28,23 ST-6 AVE,40.742868,-73.992770,8722,6066,FM
